1.00000000000000005551e-01	7.79963176365986148725e-03
1.04712854805089961019e-01	8.02764430676933260500e-03
1.09647819614318520198e-01	8.26055899858706664529e-03
1.14815362149688293680e-01	8.49841526059083932076e-03
1.20226443461741300256e-01	8.74125055610393449090e-03
1.25892541179416728170e-01	8.98910045808408095236e-03
1.31825673855640701504e-01	9.24199873585250172847e-03
1.38038426460288493614e-01	9.49997746723039993011e-03
1.44543977074592738807e-01	9.76306715868049089513e-03
1.51356124843620820641e-01	1.00312968817051675202e-02
1.58489319246111343142e-01	1.03046946320629502492e-02
1.65958690743756076547e-01	1.05832874365063417388e-02
1.73780082874937569226e-01	1.08671015021894242641e-02
1.81970085860998359584e-01	1.11561623777320251955e-02
1.90546071796324739678e-01	1.14504951169795386734e-02
1.99526231496887973549e-01	1.17501243747445294902e-02
2.08929613085403975692e-01	1.20550744343111936041e-02
2.18776162394955259183e-01	1.23653692151858441567e-02
2.29086765276777321043e-01	1.26810321093222440336e-02
2.39883291901949097236e-01	1.30020857616655449024e-02
2.51188643150958013095e-01	1.33285516641242912650e-02
2.63026799189538251778e-01	1.36604494814990852503e-02
2.75422870333816627308e-01	1.39977961750622353909e-02
2.88403150312660561116e-01	1.43406048123431145019e-02
3.01995172040201653729e-01	1.46888830096997442809e-02
3.16227766016837941176e-01	1.50426309920695180922e-02
3.31131121482591161964e-01	1.54018392122187465498e-02
3.46736850452531664146e-01	1.57664853958835761427e-02
3.63078054770101354976e-01	1.61365309531430016488e-02
3.80189396320561201481e-01	1.65119167035250036246e-02
3.98107170553497313747e-01	1.68925585020624734189e-02
4.16869383470335419517e-01	1.72783421289378971708e-02
4.36515832240166046230e-01	1.76691159028989873414e-02
4.57088189614875073374e-01	1.80646824104547035206e-02
4.78630092322638311941e-01	1.84647908466439615582e-02
5.01187233627272354930e-01	1.88691273168857601150e-02
5.24807460249772539385e-01	1.92773058920138427863e-02
5.49540873857624623255e-01	1.96888573210433730221e-02
5.75439937337157036978e-01	2.01032166265773595826e-02
6.02559586074357778074e-01	2.05197138160223037373e-02
6.30957344480193249581e-01	2.09375594795759220612e-02
6.60693448007595995897e-01	2.13558319325155114565e-02
6.91830970918936638547e-01	2.17734659229676524861e-02
7.24435960074990226154e-01	2.21892422158551580469e-02
7.58577575029183770461e-01	2.26017724995745024341e-02
7.94328234724281490031e-01	2.30094926262237320369e-02
8.31763771102670967927e-01	2.34106786708408246001e-02
8.70963589956080697085e-01	2.38034750126163707762e-02
9.12010839355909874726e-01	2.41858485901285946706e-02
9.54992586021435885257e-01	2.45555863633461907147e-02
9.99999999999999888978e-01	2.49103043996697949558e-02
1.04712854805089983223e+00	2.52474914974269125378e-02
1.09647819614318531301e+00	2.55645125999927128047e-02
1.14815362149688282578e+00	2.58586097682040050305e-02
1.20226443461741272500e+00	2.61269264983980988026e-02
