 -1.00000000000000000000e+00	 2.46029517503668767871e-08	 2.45248379874616633264e-08	 2.46157199485071998146e-08	 3.29554985624753442018e-06	 3.29487217535474244520e-06	 3.28609622652854161624e-06	 3.58311166959058940873e-06	 1.01047903331566669906e-06	 1.04075105494167697814e-06	 3.27033752368351419816e-06	 5.17226501105561963756e-08	 6.21312945267567370249e-08	 6.21286202105657712273e-08	 6.21313595263345151295e-08	 
 -9.79999999999999982236e-01	 2.52483863314297675253e-08	 2.51681600958890386072e-08	 2.52612784209974270490e-08	 3.38247134293065609349e-06	 3.38176941951151058727e-06	 3.37290393874320028545e-06	 3.67797551249269056613e-06	 1.03548166911053480635e-06	 1.06640754190344132324e-06	 3.35657608400778575451e-06	 5.30375520069196877510e-08	 6.37626106638241822765e-08	 6.37598643333745452957e-08	 6.37626755025389422830e-08	 
 -9.59999999999999964473e-01	 2.59062868592364080265e-08	 2.58239059668156148363e-08	 2.59193006706386056760e-08	 3.47107747283754460829e-06	 3.47035090904450730474e-06	 3.46139713889910769222e-06	 3.77468589314991129056e-06	 1.06093528829731065851e-06	 1.09252474893621525608e-06	 3.44448581734205257204e-06	 5.43769864536052213250e-08	 6.54254603885803412365e-08	 6.54226406146696486362e-08	 6.54255250206513684789e-08	 
 -9.39999999999999946709e-01	 2.65766352480644576349e-08	 2.64920575237210220819e-08	 2.65897682984986166923e-08	 3.56136195645685014845e-06	 3.56061056573766018520e-06	 3.55156978945167778520e-06	 3.87323696720640962951e-06	 1.08683645392933734612e-06	 1.11909906219716851211e-06	 3.53406061965881687731e-06	 5.57408719436357425334e-08	 6.71197975686971528018e-08	 6.71169029249523748871e-08	 6.71198619495696672217e-08	 
 -9.19999999999999928946e-01	 2.72593966379485220850e-08	 2.71725799877400447740e-08	 2.72726461359943938904e-08	 3.65331537951577680330e-06	 3.65253924570527364825e-06	 3.64341274990415992465e-06	 3.97361961997474568651e-06	 1.11318087191478515639e-06	 1.14612599331828224161e-06	 3.62529133076834394361e-06	 5.71290933322352746554e-08	 6.88455333198958559701e-08	 6.88425623856825583243e-08	 6.88455974076111276131e-08	 
 -9.00000000000000022204e-01	 2.79545187925541337001e-08	 2.78654212006436824761e-08	 2.79678814714595520545e-08	 3.74692529450614001532e-06	 3.74612453150279426604e-06	 3.73691364902213977114e-06	 4.07582118751816128370e-06	 1.13996337557090752421e-06	 1.17360016182357132791e-06	 3.71816559650430177801e-06	 5.85415006636263740522e-08	 7.06025352948499266021e-08	 7.05994866587995005674e-08	 7.06025990483223576639e-08	 
 -8.80000000000000115463e-01	 2.86619313585618943453e-08	 2.85705108635836873354e-08	 2.86754032542996093985e-08	 3.84217608899473591385e-06	 3.84135050252842022466e-06	 3.83205667630878764416e-06	 4.17982519330820352594e-06	 1.16717788788899025907e-06	 1.20151525694778679983e-06	 3.81266766355162644808e-06	 5.99779080204100992013e-08	 7.23906260601799664667e-08	 7.23874983241877967088e-08	 7.23906894366410502605e-08	 
 -8.59999999999999986677e-01	 2.93815448551818226442e-08	 2.92877595926419704438e-08	 2.93951212144467607798e-08	 3.93904848783507466375e-06	 3.93819747336129543042e-06	 3.92882224404612622354e-06	 4.28561111414591537134e-06	 1.19481734697222484923e-06	 1.22986396534333835911e-06	 3.90877806662462963478e-06	 6.14380922892397155766e-08	 7.42095799114022323182e-08	 7.42063716949265743221e-08	 7.42096428666164937368e-08	 
 -8.40000000000000079936e-01	 3.01132512093261772429e-08	 3.00170594666037416419e-08	 3.01269269518196763330e-08	 4.03751936122008131183e-06	 4.03664194123175924583e-06	 4.02718713929054860246e-06	 4.39315451277319188057e-06	 1.22287370728618828392e-06	 1.25863796138944442921e-06	 4.00647351860974297859e-06	 6.29217936575239658218e-08	 7.60591215351820663712e-08	 7.60558314756738627224e-08	 7.60591840226291324624e-08	 
 -8.20000000000000062172e-01	 3.08569233919349179204e-08	 3.07582836678281758939e-08	 3.08706937597742967650e-08	 4.13756148251482898365e-06	 4.13665637678160459661e-06	 4.12712438394926970286e-06	 4.50242687855304619601e-06	 1.25133790651213841537e-06	 1.28782787066574932890e-06	 4.10572668677228478561e-06	 6.44287151374694231654e-08	 7.79389241831758871152e-08	 7.79355509355849605262e-08	 7.79389861529286051780e-08	 
