1.e-9	6.404408490947384e-18	6.523710536265299e-19	6.404408490947384e-18	6.523710536265299e-19	6.404408490947384e-18	6.523710536265299e-19	2.2342576235053042e-10	2.238010277267553e-10	1.0768425156901239e-10	5.473269096923894e-10	2.599786082635075e-9	7.123363489412544e-10	1.5038535347495404e-11	6.808407109553519e-10	1.1893681470572478e-17	8.968468130310991e-18	1.5035641350413907e-11	8.588400728215345e-18	8.588400728215345e-18	8.588400728215345e-18	0.00013160438845553085	0.00013160438845553085	0.00013160438845553085
1.0715193052376092e-9	1.0884207838371816e-17	1.1046488044718913e-18	1.0884207838371816e-17	1.1046488044718913e-18	1.0884207838371816e-17	1.1046488044718913e-18	3.799352326548625e-10	3.805723130215033e-10	1.8311215218633296e-10	9.307202979922019e-10	4.420806395506225e-9	1.2110306123648158e-9	2.5315230783556405e-11	1.157547491100258e-9	1.8708587264089465e-17	1.5250821165190237e-17	2.5310333025293383e-11	1.4582379922908107e-17	1.4582379922908107e-17	1.4582379922908107e-17	0.0001228203615298817	0.0001228203615298817	0.0001228203615298817
1.148153621496884e-9	1.849756779823141e-17	1.8704830240976222e-18	1.849756779823141e-17	1.8704830240976222e-18	1.849756779823141e-17	1.8704830240976222e-18	6.460793934140147e-10	6.471609487663314e-10	3.1137385262709395e-10	1.5826743720338548e-9	7.517360492498125e-9	2.058852038456832e-9	4.261458279123005e-11	1.9680318356289913e-9	2.942833455595998e-17	2.593392124865977e-17	4.2606294132813155e-11	2.4759650946120652e-17	2.4759650946120652e-17	2.4759650946120652e-17	0.00011462263062320359	0.00011462263062320359	0.00011462263062320359
1.2302687708123811e-9	3.1436372727459006e-17	3.1672570768863246e-18	3.1436372727459006e-17	3.1672570768863246e-18	3.1436372727459006e-17	3.1672570768863246e-18	1.0986572097498513e-9	1.1004933340605446e-9	5.294770169114027e-10	2.691311421161182e-9	1.2782896086926421e-8	3.500218469276174e-9	7.173557618326395e-11	3.3459960267963114e-9	4.629034050047535e-17	4.4100462791266084e-17	7.172154937344411e-11	4.203979859355649e-17	4.203979859355649e-17	4.203979859355649e-17	0.00010697206299776981	0.00010697206299776981	0.00010697206299776981
1.31825673855641e-9	5.344807619863139e-17	5.3790768186323204e-18	5.344807619863139e-17	5.3790768186323204e-18	5.344807619863139e-17	5.3790768186323204e-18	1.868266336464273e-9	1.871387104238064e-9	9.003687640484021e-10	4.57656230411366e-9	2.1737129400518764e-8	5.951693400388457e-9	1.216198362681067e-10	5.689546498561293e-9	7.705938263281656e-17	7.499275613923409e-17	1.2159601797660137e-10	7.14562979597451e-17	7.14562979597451e-17	7.14562979597451e-17	0.00009983213785779507	0.00009983213785779507	0.00009983213785779507
1.4125375446227555e-9	9.087234313261658e-17	9.135496967360264e-18	9.087234313261658e-17	9.135496967360264e-18	9.087234313261658e-17	9.135496967360264e-18	3.1769864822168803e-9	3.1822906922902143e-9	1.5310653444465601e-9	7.782422486950938e-9	3.6963673283561436e-8	1.0120126684421e-8	2.061931521410281e-10	9.674530124975372e-9	1.282805092282576e-16	1.2752504435105455e-16	2.0615270747677827e-10	1.214563981972578e-16	1.214563981972578e-16	1.214563981972578e-16	0.00009316877201354548	0.00009316877201354548	0.00009316877201354548
1.5135612484362133e-9	1.545202119019817e-16	1.5528978812611753e-17	1.545202119019817e-16	1.5528978812611753e-17	1.545202119019817e-16	1.5528978812611753e-17	5.4024657563164725e-9	5.411484207747814e-9	2.6035708988458037e-9	1.3233999530989259e-8	6.285657157963006e-8	1.7208906998621043e-8	3.503151746775757e-10	1.6451263609032178e-8	2.1678499750109004e-16	2.1685628596275683e-16	3.5024642826229984e-10	2.065085343789447e-16	2.065085343789447e-16	2.065085343789447e-16	0.00008695015718161546	0.00008695015718161546	0.00008695015718161546
1.6218100973589331e-9	2.62747664065278e-16	2.6396941931471804e-17	2.62747664065278e-16	2.6396941931471804e-17	2.62747664065278e-16	2.6396941931471804e-17	9.186893432359238e-9	9.202227000082453e-9	4.427362587693523e-9	2.2504399353785604e-8	1.0688733666797832e-7	2.9263119852351322e-8	5.951736046279806e-10	2.7974906361104168e-8	3.6635132978716926e-16	3.6876402592814984e-16	5.950567519192881e-10	3.5112003487933526e-16	3.5112003487933526e-16	3.5112003487933526e-16	0.0000811466081447171	0.0000811466081447171	0.0000811466081447171
1.7378008287493762e-9	4.46795300642975e-16	4.488284215903309e-17	4.46795300642975e-16	4.488284215903309e-17	4.46795300642975e-16	4.488284215903309e-17	1.5622313822800324e-8	1.564838737474753e-8	7.528725757754375e-9	3.826872574968761e-8	1.8176179694264575e-7	4.9761619427865776e-8	1.0118180872675626e-9	4.75710934905202e-8	6.218209639185964e-16	6.270832341888833e-16	1.0116194050848454e-9	5.970552510308874e-16	5.970552510308874e-16	5.970552510308874e-16	0.0000757304210461455	0.0000757304210461455	0.0000757304210461455
1.8620871366628732e-9	7.597633318142391e-16	7.631450360812056e-17	7.597633318142391e-16	7.631450360812056e-17	7.597633318142391e-16	7.631450360812056e-17	2.6565747276267598e-8	2.6610083344821076e-8	1.2802590800452846e-8	6.507595903724691e-8	3.0908573323744367e-7	8.461909668475664e-8	1.7201297802205228e-9	8.0894245245098e-8	1.055438535990249e-15	1.0663550535089416e-15	1.719791965125068e-9	1.0152510178066502e-15	1.0152510178066502e-15	1.0152510178066502e-15	0.00007067574114248207	0.00007067574114248207	0.00007067574114248207
1.9952623149688828e-9	1.291971472196753e-15	1.2976833410070968e-16	1.291971472196753e-15	1.2976833410070968e-16	1.291971472196753e-15	1.2976833410070968e-16	4.517505842885139e-8	4.52504508922403e-8	2.177080374824839e-8	1.1066167310246705e-7	5.256002304757628e-7	1.4389451123572972e-7	2.9248419471817673e-9	1.3756047141146058e-7	1.793769060822258e-15	1.8133369298168353e-15	2.9242675150672296e-9	1.726413286504522e-15	1.726413286504522e-15	1.726413286504522e-15	0.00006595843938323633	0.00006595843938323633	0.00006595843938323633
2.1379620895022324e-9	2.1969871604417135e-15	2.2066343537720463e-16	2.1969871604417135e-15	2.2066343537720463e-16	2.1969871604417135e-15	2.2066343537720463e-16	7.682019567630725e-8	7.694839882377281e-8	3.702124852947722e-8	1.88180183204501e-7	8.937830917739601e-7	2.4469216967545524e-7	4.973287780005521e-9	2.3392125407203344e-7	3.0485976528651435e-15	3.083579723486611e-15	4.972310996380254e-9	2.935729965834952e-15	2.935729965834952e-15	2.935729965834952e-15	0.00006155599722826302	0.00006155599722826302	0.00006155599722826302
2.2908676527677795e-9	3.7359716949061e-15	3.7523430294755604e-16	3.7359716949061e-15	3.7523430294755604e-16	3.7359716949061e-15	3.7523430294755604e-16	1.306327583777331e-7	1.308507669591577e-7	6.29546368198267e-8	3.200004329106634e-7	1.519878225594983e-6	4.1609884120434474e-7	8.456868703728765e-9	3.977829586590468e-7	5.183267598402719e-15	5.243627906404887e-15	8.45520770258813e-9	4.992190883072783e-15	4.992190883072783e-15	4.992190883072783e-15	0.00005744739915312397	0.00005744739915312397	0.00005744739915312397
2.4547089156850337e-9	6.353011413290361e-15	6.380793531463114e-16	6.353011413290361e-15	6.380793531463114e-16	6.353011413290361e-15	6.380793531463114e-16	2.2214103220043136e-7	2.2251175431228012e-7	1.0705436619622212e-7	5.441607895116344e-7	2.5845530553198314e-6	7.075757507125238e-7	1.4380552953246345e-8	6.76429693519035e-7	8.812662757054967e-15	8.91679025238135e-15	1.4377728453820504e-8	8.489190117301956e-15	8.489190117301956e-15	8.489190117301956e-15	0.00005361303232925445	0.00005361303232925445	0.00005361303232925445
2.6302679918953816e-9	1.080329249762353e-14	1.0850506627763684e-15	1.080329249762353e-14	1.0850506627763684e-15	1.080329249762353e-14	1.0850506627763684e-15	2.2450957741295635e-7	2.2522700626007358e-7	1.0843609984097103e-7	5.483330167394107e-7	2.610860589249118e-6	7.277113956018971e-7	2.445395195680548e-8	6.921886570585658e-7	1.498517457241249e-14	1.5163003625105862e-14	2.444914891203161e-8	1.4435853412145717e-14	1.4435853412145717e-14	1.4435853412145717e-14	0.00005003459300004491	0.00005003459300004491	0.00005003459300004491
2.818382931264461e-9	1.8370993092354943e-14	1.8451230791062416e-15	1.8370993092354943e-14	1.8451230791062416e-15	1.8370993092354943e-14	1.8451230791062416e-15	2.26903376881151e-7	2.279753917075382e-7	1.0983566730168123e-7	5.525372335562285e-7	2.6374359011370487e-6	7.48420045140864e-7	4.158364203726625e-8	7.083147613877544e-7	2.548099968830772e-14	2.5784690726976796e-14	4.1575474487686e-8	2.454814427023246e-14	2.454814427023246e-14	2.454814427023246e-14	0.00004669499910591882	0.00004669499910591882	0.00004669499910591882
3.019951720402019e-9	3.123987344077966e-14	3.137629208624049e-15	3.123987344077966e-14	3.137629208624049e-15	3.123987344077966e-14	3.137629208624049e-15	1.7438340703146127e-7	1.7680484985890285e-7	8.553070344363993e-8	4.1696126438386975e-7	2.0211096802577394e-6	6.318275817486035e-7	7.071283397606927e-8	5.832157192504955e-7	4.332978317653013e-14	4.3846871880090264e-14	7.069894507119673e-8	4.174411035661066e-14	4.174411035661066e-14	4.174411035661066e-14	0.00004357830874131045	0.00004357830874131045	0.00004357830874131045
